"State","Crime_Rate","Governor_Party","Death_Penalty_Present","Police_Funding","Gun_Ownership","Abortion_Legality","Marijuana_Legality","Median_Income"
"AL",409.1,"R","Y",296,55.5,"No","No",59910
"AK",758.9,"R","N",555,64.5,"Yes","Yes",89740
"AZ",431.5,"R","M",401,46.3,"Yes","Yes",73450
"AR",645.3,"R","Y",244,57.2,"No","No",53980
"CA",499.5,"D","M",564,28.3,"Yes","Yes",85300
"CO",492.5,"D","N",402,45.1,"Yes","Yes",89930
"CT",150,"D","N",363,23.6,"Yes","Yes",90730
"DE",383.5,"D","N",401,34.4,"Yes","Yes",80750
"FL",258.9,"R","Y",470,35.3,"Yes","No",65370
"GA",367,"R","Y",287,49.2,"Yes","No",67730
"HI",259.6,"D","N",384,14.9,"Yes","Yes",91010
"ID",241.4,"R","Y",302,60.1,"No","No",72580
"IL",287.3,"D","N",448,27.8,"Yes","Yes",78020
"IN",306.2,"R","Y",238,44.8,"No","No",70030
"IA",286.5,"R","Y",290,43.6,"Yes","No",76320
"KS",414.6,"D","Y",363,48.9,"Yes","No",73040
"KY",214.1,"D","Y",183,54.6,"No","No",55880
"LA",628.6,"D","Y",326,53.1,"No","Yes",58330
"ME",103.3,"D","N",244,46.8,"Yes","Yes",75160
"MD",398.5,"R","N",503,30.2,"Yes","Yes",108200
"MA",322,"R","N",353,14.7,"Yes","Yes",93550
"MI",461,"D","N",293,40.2,"Yes","Yes",68990
"MN",280.6,"D","N",428,42.8,"Yes","Yes",90390
"MS",245,"R","Y",265,55.8,"No","Yes",48610
"MO",488,"R","Y",321,48.8,"No","Yes",71520
"MT",417.9,"R","Y",350,66.3,"Yes","Yes",72980
"NE",282.8,"R","Y",302,45.2,"Yes","Yes",78360
"NV",454,"D","Y",477,47.3,"Yes","Yes",72330
"NH",125.6,"R","N",362,41.1,"Yes","Yes",84970
"NJ",202.9,"D","N",449,14.7,"Yes","Yes",92340
"NM",780.5,"D","N",365,46.2,"Yes","Yes",56420
"NY",429.3,"D","N",570,19.9,"Yes","Yes",75910
"NC",405.1,"D","Y",345,45.8,"Yes","Yes",65070
"ND",279.6,"R","N",337,55.1,"No","Yes",78720
"OH",293.6,"R","M",347,40,"Yes","Yes",67520
"OK",419.7,"R","Y",288,54.7,"No","No",63440
"OR",342.4,"D","M",376,50.8,"Yes","Yes",86780
"PA",279.9,"D","M",335,40.7,"Yes","No",72210
"RI",172.3,"D","N",485,14.8,"Yes","Yes",80650
"SC",491.3,"R","Y",275,49.4,"Yes","No",61770
"SD",377.4,"R","Y",259,55.3,"No","No",67180
"TN",621.6,"R","M",335,51.6,"No","No",65380
"TX",431.9,"R","Y",323,45.7,"No","No",74640
"UT",241.8,"R","Y",289,46.8,"Yes","No",95800
"VT",221.9,"R","N",351,50.5,"Yes","Yes",72190
"VA",234,"R","N",316,44.6,"Yes","Yes",85170
"WA",375.6,"D","N",334,42.1,"Yes","Yes",89430
"WV",277.9,"R","N",254,58.5,"No","No",52460
"WI",297,"D","N",330,45.3,"Yes","No",73330
"WY",201.9,"R","Y",400,66.2,"Yes","No",73090
